               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,             0.02801,            0.040794,           0.0061199,             0.92642,             0.90991,             0.93905,             0.78101,            0.021001,            0.034731,           0.0053805,            0.007492,            0.007492,            0.007492
                  78,            0.027925,            0.040251,           0.0062447,             0.93373,              0.8851,             0.93895,             0.78719,            0.020946,            0.033755,           0.0053974,            0.007459,            0.007459,            0.007459
                  79,            0.027798,            0.040316,           0.0060234,             0.92833,             0.89169,             0.93529,             0.78155,            0.020829,             0.03535,            0.005367,            0.007426,            0.007426,            0.007426
                  80,            0.028007,            0.040679,           0.0060973,             0.93216,             0.89437,             0.93637,             0.77914,            0.020852,            0.034716,           0.0052515,            0.007393,            0.007393,            0.007393
                  81,            0.027475,            0.039614,           0.0059909,             0.93421,             0.89526,             0.93869,             0.79525,            0.020701,            0.034545,           0.0053598,             0.00736,             0.00736,             0.00736
                  82,            0.027731,            0.039842,           0.0060746,             0.91021,             0.90237,             0.93694,             0.79206,            0.020589,            0.035463,           0.0052723,            0.007327,            0.007327,            0.007327
                  83,            0.027626,            0.039611,           0.0059635,             0.93329,              0.8877,             0.93498,             0.78947,             0.02049,            0.035123,           0.0053394,            0.007294,            0.007294,            0.007294
                  84,            0.027544,             0.04024,           0.0060292,             0.92406,             0.90237,             0.93117,             0.78902,            0.020366,            0.035438,           0.0052782,            0.007261,            0.007261,            0.007261
                  85,            0.027646,            0.040484,           0.0059505,              0.9288,             0.89497,             0.93675,             0.78977,              0.0205,            0.034605,           0.0052611,            0.007228,            0.007228,            0.007228
                  86,             0.02745,            0.039956,           0.0058398,             0.94421,             0.88929,             0.93789,             0.79482,            0.020298,            0.035135,           0.0051573,            0.007195,            0.007195,            0.007195
                  87,            0.027591,            0.040523,           0.0060443,             0.93418,             0.90038,              0.9349,             0.79346,            0.020446,            0.033618,           0.0051452,            0.007162,            0.007162,            0.007162
                  88,            0.027293,            0.039236,           0.0058644,             0.94741,             0.88669,             0.93582,             0.78674,            0.020491,            0.035361,           0.0052701,            0.007129,            0.007129,            0.007129
                  89,            0.027043,            0.039733,           0.0058713,             0.92432,             0.88083,             0.93091,             0.77953,            0.020686,            0.034888,            0.005238,            0.007096,            0.007096,            0.007096
                  90,            0.027199,            0.039632,           0.0059235,             0.93839,              0.8747,             0.93574,             0.79112,            0.020159,            0.034613,           0.0051134,            0.007063,            0.007063,            0.007063
                  91,            0.027129,            0.039627,           0.0058934,             0.92479,             0.87798,             0.93287,             0.78789,             0.02037,            0.035635,           0.0051882,             0.00703,             0.00703,             0.00703
                  92,            0.027007,            0.039056,           0.0058758,             0.93363,              0.8844,              0.9344,             0.78917,            0.020232,            0.035554,           0.0050169,            0.006997,            0.006997,            0.006997
                  93,             0.02707,            0.039277,           0.0058674,             0.93479,             0.87907,             0.92754,              0.7845,            0.020026,            0.034936,            0.005033,            0.006964,            0.006964,            0.006964
                  94,             0.02695,            0.039471,           0.0058169,             0.91974,             0.90287,             0.93347,             0.78924,            0.020128,             0.03532,           0.0051308,            0.006931,            0.006931,            0.006931
                  95,            0.026826,            0.039128,            0.005824,             0.91568,             0.89838,             0.93593,             0.79254,            0.020062,            0.035087,            0.005133,            0.006898,            0.006898,            0.006898
                  96,             0.02722,            0.039473,           0.0057629,             0.93404,             0.88453,             0.93515,             0.79538,            0.020265,            0.034275,           0.0050436,            0.006865,            0.006865,            0.006865
                  97,            0.026941,            0.038801,           0.0055793,             0.93406,             0.89861,             0.93962,             0.79749,            0.020101,            0.034682,           0.0048553,            0.006832,            0.006832,            0.006832
                  98,            0.026778,            0.038769,           0.0057007,             0.93017,             0.89038,             0.93822,             0.79534,            0.019911,            0.034913,           0.0049574,            0.006799,            0.006799,            0.006799
                  99,            0.026628,            0.038728,           0.0055155,             0.94514,             0.88195,             0.93571,             0.79784,            0.019829,            0.035101,            0.004845,            0.006766,            0.006766,            0.006766
                 100,            0.026855,            0.039247,           0.0056805,             0.92529,             0.89663,             0.93637,             0.79725,            0.020047,            0.035253,           0.0050728,            0.006733,            0.006733,            0.006733
                 101,            0.026341,            0.038607,           0.0056394,             0.92041,             0.89761,             0.92964,             0.79083,            0.019918,            0.034965,           0.0050714,              0.0067,              0.0067,              0.0067
                 102,            0.026377,             0.03804,           0.0056672,             0.93703,             0.87772,             0.93488,             0.79677,            0.020049,            0.035001,           0.0050092,            0.006667,            0.006667,            0.006667
                 103,            0.026543,            0.038643,           0.0055297,             0.92877,              0.8944,             0.93896,             0.79875,            0.019765,            0.035813,           0.0048806,            0.006634,            0.006634,            0.006634
                 104,             0.02616,            0.038615,           0.0056464,             0.93082,             0.88649,             0.93593,              0.7969,            0.019857,            0.035131,           0.0049324,            0.006601,            0.006601,            0.006601
                 105,            0.026309,            0.038101,           0.0055317,             0.92566,             0.89975,             0.93756,             0.79992,             0.01962,            0.034963,           0.0047979,            0.006568,            0.006568,            0.006568
                 106,            0.026306,            0.038451,           0.0054687,             0.93275,             0.88441,             0.93575,             0.79884,            0.019723,            0.034643,           0.0048189,            0.006535,            0.006535,            0.006535
                 107,            0.026191,             0.03843,           0.0056598,             0.94038,              0.8892,             0.94318,             0.80563,            0.019581,            0.034001,           0.0048388,            0.006502,            0.006502,            0.006502
                 108,            0.026245,            0.037982,           0.0053941,             0.94959,             0.89067,             0.94384,             0.80874,            0.019568,            0.033802,           0.0048079,            0.006469,            0.006469,            0.006469
                 109,            0.026132,            0.037943,            0.005461,              0.9202,              0.9032,             0.94039,             0.80454,            0.019311,            0.034064,           0.0048387,            0.006436,            0.006436,            0.006436
                 110,             0.02634,            0.037836,           0.0055149,             0.92902,             0.90054,             0.94181,              0.8025,            0.019417,            0.034225,           0.0050121,            0.006403,            0.006403,            0.006403
                 111,            0.026053,            0.038005,           0.0056346,             0.93747,             0.89705,             0.93876,             0.80462,            0.019566,            0.035212,           0.0050305,             0.00637,             0.00637,             0.00637
                 112,            0.026231,            0.038727,           0.0053745,             0.94296,             0.89545,             0.93682,             0.80579,            0.019519,            0.035404,           0.0052182,            0.006337,            0.006337,            0.006337
                 113,            0.026031,            0.038277,           0.0053021,             0.94069,             0.90176,             0.93972,             0.80712,            0.019354,            0.034736,           0.0050076,            0.006304,            0.006304,            0.006304
                 114,            0.026139,            0.038686,           0.0054988,             0.92831,              0.9003,             0.93761,             0.79693,            0.019644,            0.034597,           0.0050257,            0.006271,            0.006271,            0.006271
                 115,             0.02599,            0.037881,           0.0055056,              0.9213,             0.90131,             0.93528,             0.79968,            0.019512,            0.034771,           0.0049956,            0.006238,            0.006238,            0.006238
                 116,            0.025913,            0.037547,           0.0053332,             0.92964,             0.90322,              0.9393,             0.81074,            0.019254,            0.033898,           0.0049402,            0.006205,            0.006205,            0.006205
                 117,            0.026068,            0.038215,           0.0054164,             0.92705,             0.89818,             0.93955,             0.80992,            0.019265,            0.034245,           0.0046338,            0.006172,            0.006172,            0.006172
                 118,            0.025483,            0.037113,           0.0053446,             0.93344,             0.90222,             0.93922,             0.80661,            0.019297,            0.034384,           0.0047491,            0.006139,            0.006139,            0.006139
                 119,            0.025456,            0.037316,           0.0053066,             0.93696,             0.89792,             0.93897,             0.81134,            0.019226,            0.033836,           0.0048348,            0.006106,            0.006106,            0.006106
                 120,            0.025649,            0.038036,           0.0052856,             0.93518,             0.90392,             0.94041,             0.81279,            0.019313,            0.033827,           0.0047838,            0.006073,            0.006073,            0.006073
                 121,            0.025771,             0.03734,           0.0052803,             0.93666,             0.89806,             0.94196,             0.81417,            0.019488,            0.033476,           0.0049626,             0.00604,             0.00604,             0.00604
                 122,            0.025582,            0.037156,           0.0052719,             0.93287,             0.90859,             0.94631,             0.81964,            0.019341,            0.034217,           0.0047059,            0.006007,            0.006007,            0.006007
                 123,            0.025648,            0.038089,           0.0051774,              0.9469,             0.90568,             0.94891,             0.81345,            0.019386,            0.033854,            0.004584,            0.005974,            0.005974,            0.005974
                 124,            0.025707,            0.037708,            0.005275,              0.9295,             0.90591,             0.94733,             0.81678,            0.019237,            0.034132,           0.0045445,            0.005941,            0.005941,            0.005941
                 125,            0.025806,            0.037721,           0.0053761,             0.94352,             0.88436,             0.94515,              0.8169,             0.01934,            0.034017,           0.0046619,            0.005908,            0.005908,            0.005908
                 126,            0.025687,            0.037782,           0.0052811,             0.93556,             0.89679,             0.94155,             0.81177,             0.01923,            0.033838,           0.0048222,            0.005875,            0.005875,            0.005875
                 127,            0.025262,            0.037063,           0.0051929,             0.94191,             0.89495,             0.94231,             0.80964,            0.019214,            0.034216,           0.0049359,            0.005842,            0.005842,            0.005842
                 128,            0.025316,            0.037091,           0.0050622,             0.93493,             0.88049,             0.93924,             0.80447,            0.019214,            0.034701,           0.0050187,            0.005809,            0.005809,            0.005809
                 129,            0.025219,              0.0367,           0.0051155,              0.9379,             0.88636,             0.93886,             0.80877,            0.019007,             0.03411,           0.0047899,            0.005776,            0.005776,            0.005776
